product_id,product_name,brand_name,category,list_price,discount_price,sale_in_30days,rating,no_of_reviews,first_available,rankings,stock_alert
6414,"Giovanni, Direct Leave-In™ Weightless Moisture Conditioner, For All Hair Types, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,3000,4.5,29522,05/2007,"{'ranking_leave-in_conditioner': 2, 'ranking_conditioner': 5, 'ranking_hair_care': 37, 'ranking_bath_&_personal_care': 114}",
108728,"Cantu, Shea Butter, Leave-In Conditioning Repair Cream, 16 oz (453 g)",Cantu,Conditioner,58.18,58.18,3000,4.5,19447,08/2021,"{'ranking_hair_cream': 1, 'ranking_hair_styling': 3, 'ranking_leave-in_conditioner': 3, 'ranking_conditioner': 8, 'ranking_hair_care': 41}",
100350,"SheaMoisture, Jamaican Black Castor Oil Strengthen & Restore Conditioner,  13 fl oz (384 ml)",SheaMoisture,Conditioner,93.03,93.03,2000,4.5,25107,06/2020,"{'ranking_conditioner': 9, 'ranking_hair_care': 43, 'ranking_bath_&_personal_care': 146}",
107556,"SheaMoisture, Hydrate + Repair Multi-Action Leave-In, Manuka Honey & Yogurt, 8 fl oz (237 ml)",SheaMoisture,Conditioner,92.86,92.86,1000,4.5,4345,07/2021,"{'ranking_leave-in_conditioner': 6, 'ranking_conditioner': 19, 'ranking_hair_care': 112, 'ranking_bath_&_personal_care': 413}",
102824,"SheaMoisture, Curl & Shine Conditioner, Coconut & Hibiscus, 13 fl oz (384 ml)",SheaMoisture,Conditioner,93.03,93.03,1000,4.6,6470,11/2020,"{'ranking_conditioner': 23, 'ranking_hair_care': 133, 'ranking_bath_&_personal_care': 483}",
97566,"SheaMoisture, Manuka Honey & Mafura Oil, Intensive Hydration Conditioner, 13 fl oz (384 ml)",SheaMoisture,Conditioner,93.03,93.03,1000,4.6,6969,01/2020,"{'ranking_conditioner': 24, 'ranking_hair_care': 139, 'ranking_bath_&_personal_care': 507}",
123623,"Giovanni, Direct Leave-In Weightless Moisture Conditioner, For All Hair Types, 2 fl oz (60 ml)",Giovanni,Conditioner,19.47,19.47,1000,4.5,29522,06/2023,"{'ranking_conditioner': 29, 'ranking_hair_care': 165, 'ranking_bath_&_personal_care': 591}",
108743,"Cantu, Care For Kids, Leave-In Conditioner, Gentle Care For Textured Hair, 10 oz (283 g)",Cantu,Conditioner,50.17,50.17,750,4.7,1787,08/2021,"{'ranking_baby_conditioners_&_detanglers': 5, 'ranking_leave-in_conditioner': 8, 'ranking_baby_&_kids_bath,_skin,_hair': 22, 'ranking_conditioner': 29, 'ranking_hair_care': 165}",
6495,"Giovanni, Tea Tree Triple Treat, Invigorating Conditioner, For All Hair Types, 8.5 fl oz (250 ml)",Giovanni,Conditioner,71.8,71.8,1000,4.6,8118,05/2007,"{'ranking_conditioner': 31, 'ranking_hair_care': 172, 'ranking_bath_&_personal_care': 611}",
103811,"Giovanni, Smooth As Silk™ Deeper Moisture Conditioner, For Damaged Hair, 2 fl oz (60 ml)",Giovanni,Conditioner,19.48,19.48,750,4.5,49250,01/2021,"{'ranking_conditioner': 32, 'ranking_hair_care': 176, 'ranking_bath_&_personal_care': 624}",
