product_id,product_name,brand_name,category,volume_in_ml,list_price,discount_price,price_per_ml,discount%,sale_in_30days,sales_revenue,rating,no_of_reviews,first_available,stock_alert,ranking_shampoo,ranking_conditioner,ranking_hair_treatments,ranking_hair_styling
142301,"Dove, Love Your Waves, Moisturizing Conditioner, 13.5 fl oz (400 ml)",Dove,Conditioner,400.0,64.56,64.56,0.16,0.0,0,0.0,5.0,3,2024-05-01,in stock,,479,,
142656,"Kitsch, Solid Conditioner & Shave Bar, Ultra Sensitive, Fragrance Free, 2.7 oz (77 g)",Kitsch,Conditioner,80.41098214285715,110.51,110.51,1.37,0.0,0,0.0,5.0,3,2024-06-01,in stock,,479,,
111235,"Luseta Beauty, Conditioner, Coconut Milk, For Normal & Dry Hair, 16.9 fl oz (500 ml)",Luseta Beauty,Conditioner,500.0,110.48,110.48,0.22,0.0,0,0.0,4.7,150,2021-11-01,out of stock,,479,,
124460,"Cantu, Grapeseed Strengthening Repair Leave-In,  Dry Brittle Hair, 12 oz (340 g)",Cantu,Conditioner,357.38214285714287,66.88,66.88,0.19,0.0,0,0.0,4.6,37,2023-07-01,in stock,,512,,
124457,"Cantu, Grapeseed Strengthening Conditioner, 13.5 fl oz (400 ml)",Cantu,Conditioner,400.0,66.89,66.89,0.17,0.0,0,0.0,4.7,35,2023-07-01,in stock,,512,,
134530,"Camille Rose, Grace, Refreshing Moisture Mist, Gardenia & Camellia Flower, 8 oz (240 ml)",Camille Rose,Conditioner,240.0,122.05,122.05,0.51,0.0,0,0.0,4.8,24,2023-12-01,in stock,,512,,
130200,"Okay Pure Naturals, Men Professional, 3-in-1 Men Shampoo Conditioner & Treatment, 8 oz (237 ml)",Okay Pure Naturals,Conditioner,237.0,87.2,87.2,0.37,0.0,0,0.0,4.5,19,2023-10-01,in stock,581.0,512,,
124824,"Creme Of Nature, Certified Natural Argan Oil From Morocco, Creamy Hydration Co-Wash Cleansing Conditioner, 12 fl oz (354 ml)",Creme Of Nature,Conditioner,354.0,82.85,82.85,0.23,0.0,0,0.0,4.3,15,2023-07-01,in stock,,512,,
129774,"Okay Pure Naturals, Black Jamaican Castor Oil, Coconut Curls, Conditioner, 12 fl oz (355 ml)",Okay Pure Naturals,Conditioner,355.0,87.21,87.21,0.25,0.0,0,0.0,4.9,7,2023-09-01,in stock,,512,,
129775,"Okay Pure Naturals, Black Jamaican Castor Oil, Coconut Curls, Leave in Conditioner, 8 fl oz (237 ml)",Okay Pure Naturals,Conditioner,237.0,87.19,87.19,0.37,0.0,0,0.0,4.9,7,2023-09-01,in stock,,512,,
111228,"Luseta Beauty, Tea Tree & Argan Oil, Leave-In Conditioner, For Damaged & Oily Hair, 8.5 fl oz (251 ml)",Luseta Beauty,Conditioner,251.0,131.2,64.23,0.26,51.04,0,0.0,4.5,148,2021-11-01,in stock,,541,,
124874,"Creme Of Nature, Argan Oil From Morocco, Plex Breakage Defense, Restoring Conditioner, 12 fl oz (354 ml)",Creme Of Nature,Conditioner,354.0,69.06,57.68,0.16,16.48,0,0.0,4.6,7,2023-08-01,in stock,,541,,
111249,"Luseta Beauty, Jamaican Black Castor Oil Conditioner, For Thin & Dry Hair, 16.9 fl oz (500 ml)",Luseta Beauty,Conditioner,500.0,110.48,89.22,0.18,19.24,0,0.0,4.6,185,2021-11-01,in stock,,568,,
125036,"L'Oréal, Elvive, Total Repair 5, Protein Recharge Leave-In Conditioner, Damaged Hair, 5.1 fl oz (150 ml)",L'Oréal,Conditioner,150.0,81.36,81.36,0.54,0.0,0,0.0,4.4,42,2023-07-01,in stock,,568,,
111231,"Luseta Beauty, Curl Enhancing Leave-In Cream, 6.8 fl oz (200 ml)",Luseta Beauty,Conditioner,200.0,131.19,85.27,0.43,35.0,0,0.0,4.6,40,2021-11-01,in stock,,568,,269
124840,"Creme Of Nature, Curl Repair Leave-In, Coconut Milk, 11.5 oz (326 g)",Creme Of Nature,Conditioner,342.4912202380952,61.07,61.07,0.18,0.0,0,0.0,4.6,34,2023-07-01,in stock,,568,,
124841,"Creme Of Nature, Detangling & Conditioning Conditioner, Coconut Milk, 12 fl oz (354 ml)",Creme Of Nature,Conditioner,354.0,50.18,50.18,0.14,0.0,0,0.0,4.6,18,2023-07-01,in stock,,568,,
124826,"Creme Of Nature, Certified Natural Argan Oil From Morocco, Intensive Conditioning Treatment, 20 fl oz (591 ml)",Creme Of Nature,Conditioner,591.0,105.41,105.41,0.18,0.0,0,0.0,4.6,16,2023-07-01,in stock,,568,,
124867,"Creme Of Nature, Butter Blend & Flaxseed, Double Duty, Detangle & Slip Rinse-Out & Leave-In Conditioner, 12 fl oz (355 ml)",Creme Of Nature,Conditioner,355.0,82.86,82.86,0.23,0.0,0,0.0,4.4,12,2023-08-01,in stock,,568,,
134507,"Camille Rose, Fresh Honey Nectar, Deep Conditioning Treatment, 12 fl oz (355 ml)",Camille Rose,Conditioner,355.0,153.3,110.38,0.31,28.0,0,0.0,4.4,10,2024-01-01,in stock,,568,,
143761,"Dove, Ultra-Light Conditioner, Gorgeous Grays , 13.5 fl oz (400 ml)",Dove,Conditioner,400.0,64.56,58.1,0.15,10.01,0,0.0,5.0,1,2024-08-01,in stock,,568,,
92463,"Dove, Intensive Repair Conditioner, For Damaged Hair, 12 fl oz (355 ml)",Dove,Conditioner,355.0,38.99,38.99,0.11,0.0,0,0.0,4.7,331,2020-01-01,out of stock,,568,,
107459,"Dove, Men+Care, 2-In-1 Shampoo + Conditioner, Revitalizing, Eucalyptus + Birch, 12 fl oz (355 ml)",Dove,Conditioner,355.0,50.03,50.03,0.14,0.0,0,0.0,4.7,143,2021-12-01,out of stock,630.0,568,,
107368,"Dove, Men+Care, 2 In 1 Shampoo + Conditioner, Reinvigorating, Lime + Cedarwood, 20.4 fl oz (603 ml)",Dove,Conditioner,603.0,81.74,81.74,0.14,0.0,0,0.0,4.8,74,2021-08-01,out of stock,630.0,568,,
114627,"Dove, Conditioner, For Dry Hair, Coconut & Hydration, 25.4 fl oz (750 ml)",Dove,Conditioner,750.0,79.3,79.3,0.11,0.0,0,0.0,4.4,80,2022-07-01,out of stock,,568,,
111238,"Luseta Beauty, Biotin B-Complex Thickening Conditioner, For Thin & Dry Hair, 16.9 fl oz (500 ml)",Luseta Beauty,Conditioner,500.0,110.48,88.75,0.18,19.67,0,0.0,4.6,211,2021-11-01,in stock,,,,
124689,"Mielle, Moisture RX, Moisturizing Overnight Conditioner, Hawaiian Ginger, 2 oz (57 g)",Mielle,Conditioner,59.56369047619047,28.33,28.33,0.48,0.0,0,0.0,4.5,122,2023-07-01,in stock,,608,,
107472,"Dove, Hair Therapy, Hydration Spa Conditioner, 13.5 fl oz (400 ml)",Dove,Conditioner,400.0,73.57,73.57,0.18,0.0,0,0.0,4.7,111,2021-08-01,in stock,,608,,
111230,"Luseta Beauty, Curl Enhancing Coconut Oil Conditioner, For All Curl Types, 16.9 fl oz (500 ml)",Luseta Beauty,Conditioner,500.0,131.25,131.25,0.26,0.0,0,0.0,4.6,90,2021-11-01,in stock,,,,
124699,"Mielle, Soothing Leave-In Conditioner, For Sensitive Scalp, Oats & Honey Blend, 6 fl oz (177 ml)",Mielle,Conditioner,177.0,95.89,95.89,0.54,0.0,0,0.0,4.6,22,2023-07-01,in stock,,,,
130167,"Okay Pure Naturals, Ultra Moisturizing Leave-in Conditioner, Shea , 8 fl oz (237 ml)",Okay Pure Naturals,Conditioner,237.0,79.93,79.93,0.34,0.0,0,0.0,4.4,15,2023-09-01,in stock,,,,
134519,"Camille Rose, Caramel Cowash Cleansing Conditioner, Coconut & Rosemary Oils , 8 oz (240 ml)",Camille Rose,Conditioner,240.0,95.91,95.91,0.4,0.0,0,0.0,4.4,13,2024-01-01,in stock,,,,
130202,"Okay Pure Naturals, Miami South Beach Curls, Coconut Curl Enhancer Leave in Conditioner, 12 oz (354.8 ml)",Okay Pure Naturals,Conditioner,354.8,174.36,174.36,0.49,0.0,0,0.0,4.6,7,2023-09-01,in stock,,608,,
129782,"Okay Pure Naturals, Ultra Moisturizing Shea Conditioner, 12 fl oz (355 ml)",Okay Pure Naturals,Conditioner,355.0,79.95,79.95,0.23,0.0,0,0.0,4.0,7,2023-09-01,in stock,,608,,
130201,"Okay Pure Naturals, Miami South Beach Curls, Coconut Curl Enhancer Conditioner, 12 oz (354.8 ml)",Okay Pure Naturals,Conditioner,354.8,174.36,174.36,0.49,0.0,0,0.0,4.7,3,2023-09-01,in stock,,608,,
100311,"Dove, Amplified Textures, Super Slip Detangling Conditioner, 11.5 fl oz (340 ml)",Dove,Conditioner,340.0,66.73,66.73,0.2,0.0,0,0.0,4.5,145,2020-10-01,out of stock,,,,
108750,"Cantu, Men's Collection, Shea Butter Leave-In Conditioner, 13 oz (370 g)",Cantu,Conditioner,387.1639880952381,62.53,62.53,0.16,0.0,0,0.0,4.6,257,2021-08-01,unavailable for this country,,,,
134505,"Camille Rose, Leave-In Detangling Hair Treatment, Coconut Water, 8 oz (240 ml)",Camille Rose,Conditioner,240.0,143.11,143.11,0.6,0.0,0,0.0,4.5,6,2023-12-01,unavailable for this country,,,,
110487,"Mielle, Scalp & Hair Strengthening Oil, Rosemary Mint, 2 fl oz (59 ml)",Mielle,Treatments,59.0,96.31,96.31,1.63,0.0,40000,3852400.0,4.6,45144,2021-10-01,in stock,,,1,
6411,"Giovanni, Frizz Be Gone™, Super Smoothing, Anti-Frizz Hair Serum, 2.75 fl oz (81 ml)",Giovanni,Treatments,81.0,78.3,78.3,0.97,0.0,10000,783000.0,4.5,42266,2007-05-01,in stock,,,4,
97567,"SheaMoisture, Jamaican Black Castor Oil, Strengthen & Restore Treatment Masque, 11.5 oz (326 g)",SheaMoisture,Treatments,341.73295454545456,107.26,107.26,0.31,0.0,7500,804450.0,4.7,39069,2020-01-01,in stock,,,5,
108762,"Mielle, Strengthening Hair Masque, Rosemary Mint, 12 oz (340 g)",Mielle,Treatments,356.59090909090907,95.93,95.93,0.27,0.0,5000,479650.0,4.6,11400,2021-12-01,in stock,,,8,
102845,"SheaMoisture, Jamaican Black Castor Oil, Strengthen & Restore Leave-In Conditioner, 11.5 fl oz (340 ml)",SheaMoisture,Treatments,340.0,107.26,107.26,0.32,0.0,4000,429040.0,4.6,12203,2020-11-01,in stock,,3,18,
138163,"Mielle, Light Scalp & Hair Strengthening Oil, Rosemary Mint, 2 fl oz (59 ml)",Mielle,Treatments,59.0,95.88,95.88,1.63,0.0,3000,287640.0,4.6,3138,2024-01-01,in stock,,,23,
6420,"Giovanni, Nutrafix™ Hair Reconstructor, 6.8 fl oz (201 ml)",Giovanni,Treatments,201.0,71.79,71.79,0.36,0.0,2000,143580.0,4.5,25984,2007-05-01,in stock,,,26,
97568,"SheaMoisture, Manuka Honey & Mafura Oil, Intensive Hydration Hair Masque, 11.5 oz (326 g)",SheaMoisture,Treatments,341.73295454545456,107.26,107.26,0.31,0.0,1000,107260.0,4.7,13826,2020-02-01,in stock,,,32,
